"year","month","day","hour","DALMP","LOAD","WIND","OUTAGES"
2014,1,18,9,50.11,39429.300153,5649.17,14607
2014,1,18,10,49.65,37919.737333,4818.84,15161
2014,1,18,11,42.1,36339.197725,3239.8,15161
2014,1,18,12,40.15,34661.820145,2329.72,15161
2014,1,18,13,29.99,33072.913848,1812.45,15238
2014,1,18,14,27.23,31751.007458,1296.67,15238
2014,1,18,15,24.91,30683.188008,964.55,15238
2014,1,18,16,24.62,30062.775853,918.48,15238
2014,1,18,17,24.76,30005.7485,995.42,14993
2014,1,18,18,33.11,30561.099058,1346.56,15171
2014,1,18,19,49.83,32823.104658,1341.82,15171
2014,1,18,20,39.7,33210.31009,1614.24,15171
2014,1,18,21,36.92,32975.55452,1584.1,15171
2014,1,18,22,35.99,32438.906775,1698.12,15171
2014,1,18,23,40,31517.16844,1302.01,15561
2014,1,19,0,31.75,30452.91852,1441.25,15436
2014,1,19,1,37.34,29412.408513,1300.24,15436
2014,1,19,2,32.03,28942.8564,1298.17,15506
2014,1,19,3,29.99,28909.325848,1102.07,15506
2014,1,19,4,30.73,29190.001455,498.25,15506
2014,1,19,5,32,29706.594263,218.97,15506
2014,1,19,6,36.72,30867.779885,151.36,15477
2014,1,19,7,44.2,32486.17133,172.02,15477
2014,1,19,8,48.21,34172.172923,266.19,15622
2014,1,19,9,56.85,35090.216043,531.02,15622
2014,1,19,10,52.67,34518.075045,1093.83,15622
2014,1,19,11,42.46,33431.041338,1339.11,15622
2014,1,19,12,35.09,32164.417188,1666.79,15622
2014,1,19,13,31.14,31364.107708,2188.05,15622
2014,1,19,14,29.58,30775.574518,2652.55,15622
2014,1,19,15,25,30145.365635,2646.53,15309
2014,1,19,16,25,29817.487913,2782.42,14166
2014,1,19,17,25.96,29887.579443,3266.73,14166
2014,1,19,18,31.19,30563.674708,3719.93,14111
2014,1,19,19,51.86,33049.531823,3356.09,14111
2014,1,19,20,38.06,33821.274713,4493.26,13342
2014,1,19,21,34.74,33497.941633,6154.83,13509
2014,1,19,22,36.02,33108.869315,6949.19,13509
2014,1,19,23,28.62,31982.377048,7835.47,14111
2014,1,20,0,21.38,30361.78387,7832.8,13853
2014,1,20,1,21.8,29283.661993,7604.83,13853
2014,1,20,2,20.41,28775.093875,7773.05,13853
2014,1,20,3,20.27,28703.03219,7620.4,13853
2014,1,20,4,21.1,28995.403898,7381.39,13853
2014,1,20,5,23.95,29963.45678,6990.28,13708
2014,1,20,6,30.9,32046.37514,6596.58,13708
2014,1,20,7,45.52,34843.609028,6448.78,13656
2014,1,20,8,44.47,36583.16732,6399.83,13986
2014,1,20,9,41.74,36472.545775,6217.35,13986
2014,1,20,10,42.86,35978.488238,5597.23,13986
2014,1,20,11,41.71,35128.296598,4181.61,13986
2014,1,20,12,35.19,34398.951955,3497.61,13986
2014,1,20,13,31.84,33777.341048,2761.12,13986
2014,1,20,14,31.09,33439.776398,3245.35,12781
2014,1,20,15,29.99,33304.542385,4013.31,12781
2014,1,20,16,27.09,33209.206345,4917.09,12772
2014,1,20,17,27.19,33205.881403,5219.65,12772
2014,1,20,18,35.14,33480.174993,5680.08,12772
2014,1,20,19,50.56,35526.594683,5606.14,12605
2014,1,20,20,35.19,36074.390195,6366.72,12450
2014,1,20,21,33.03,35388.056098,7948.71,12450
2014,1,20,22,34.03,33987.71108,7970.64,12450
2014,1,20,23,27.46,31675.42118,7610.37,12450
2014,1,21,0,22.37,29262.723608,7279.48,12247
2014,1,21,1,23.08,27772.979723,6504.32,11745
2014,1,21,2,22.83,27105.562903,5934.18,11745
2014,1,21,3,24.26,26903.40744,6301.72,11745
2014,1,21,4,25.15,27267.536385,6580.7,11745
2014,1,21,5,28.42,28442.121033,6773.34,11745
2014,1,21,6,33.83,31437.050493,6766.2,11745
2014,1,21,7,57.3,36483.38906,6500.43,11745
2014,1,21,8,53.36,39122.34724,6027.02,11792
2014,1,21,9,43.49,38350.052545,4981.7,11792
2014,1,21,10,42.39,37959.518393,3662.49,11850
2014,1,21,11,37.95,37507.633298,2596.83,11845
2014,1,21,12,33.24,36893.380738,2064.67,11845
2014,1,21,13,31.68,35944.954963,1520.21,11990
2014,1,21,14,30.41,35062.295975,1084.72,11990
2014,1,21,15,28.95,34198.70611,1112.9,12248
2014,1,21,16,28.45,33658.661343,1603.39,12199
2014,1,21,17,28.94,33794.15849,2020.24,12199
2014,1,21,18,36.92,34906.97642,2379.55,12199
2014,1,21,19,60.37,38345.662498,2697.39,12199
2014,1,21,20,45.04,39717.501395,3597.37,12199
2014,1,21,21,38.33,39968.974765,5297.3,12134
2014,1,21,22,35.17,39353.33272,6258.78,12134
2014,1,21,23,33.96,37641.337088,6409.23,12740
2014,1,22,0,30,35646.105408,6368.29,12674
2014,1,22,1,28,34548.826958,6171.08,12894
2014,1,22,2,27.01,34366.430708,5979.51,12885
2014,1,22,3,27.33,34454.785885,5743.06,12885
2014,1,22,4,28.85,35129.59722,5120.84,12885
2014,1,22,5,31,36378.202763,4696.96,12885
2014,1,22,6,40,39379.836045,4236.17,12885
2014,1,22,7,63,44278.693918,3840.31,12885
2014,1,22,8,59.21,46270.42114,3690.2,12885
2014,1,22,9,47.12,43925.53553,3658.84,12552
2014,1,22,10,38.16,41181.262955,3486.73,12626
2014,1,22,11,32.57,38949.587898,1995.44,12626
2014,1,22,12,31.25,36908.01679,1186.46,12406
2014,1,22,13,28.89,35210.339678,1097.65,12406
2014,1,22,14,28.17,33969.79479,1068.36,12406
2014,1,22,15,28.52,33441.308238,1180.18,12406
2014,1,22,16,27.01,33107.723278,1566.78,12159
